"date","France__Sentinelles__inc"
1/4/88,4380
1/11/88,8259
1/18/88,4363
1/25/88,8099
2/1/88,6522
2/8/88,6362
2/16/88,6796
2/22/88,5532
2/29/88,6507
3/7/88,5667
3/14/88,8069
3/21/88,5355
3/28/88,4061
4/4/88,4691
4/11/88,4922
4/18/88,6362
4/25/88,6806
5/2/88,8143
5/9/88,5163
5/16/88,5816
5/23/88,7677
5/31/88,4276
6/6/88,6941
6/13/88,7583
6/20/88,5546
6/27/88,6518
7/5/88,9355
7/11/88,3694
7/18/88,4650
7/25/88,5633
8/1/88,5870
8/8/88,1545
8/15/88,3567
8/22/88,5309
8/29/88,6055
9/6/88,6509
9/12/88,5664
9/19/88,4686
9/26/88,3990
10/3/88,5343
10/10/88,4520
10/17/88,5365
10/24/88,3890
10/31/88,3477
11/7/88,4725
11/14/88,5235
11/21/88,6195
11/28/88,8732
12/5/88,7097
12/12/88,4078
12/19/88,4193
12/27/88,3024
1/3/89,1975
1/9/89,9898
1/16/89,7950
1/23/89,8047
1/30/89,9256
2/6/89,8553
2/13/89,8652
2/21/89,10875
2/27/89,6969
3/6/89,8864
3/13/89,10773
3/20/89,7786
3/27/89,8835
4/3/89,11093
4/10/89,7512
4/17/89,9774
4/24/89,12764
5/1/89,13367
5/8/89,-
5/15/89,13973
5/22/89,8668
5/30/89,8771
6/5/89,7867
6/12/89,7694
6/19/89,9156
6/26/89,11739
7/3/89,14348
7/10/89,8302
7/17/89,11829
7/24/89,13075
7/31/89,7848
8/7/89,7831
8/14/89,6723
8/21/89,8970
8/28/89,6981
9/5/89,5916
9/11/89,5878
9/18/89,9521
9/25/89,7278
10/2/89,3538
10/9/89,5289
10/16/89,5277
10/23/89,3080
10/30/89,3820
11/6/89,5537
11/13/89,5046
11/20/89,3133
11/27/89,4880
12/4/89,4500
12/11/89,3967
12/18/89,3885
12/26/89,2100
1/2/90,2671
1/8/90,4223
1/15/90,3280
1/22/90,7482
1/29/90,5661
2/5/90,6167
2/12/90,5745
2/20/90,6357
2/26/90,7544
3/5/90,7699
3/12/90,7045
3/19/90,8105
3/26/90,6517
4/2/90,8507
4/9/90,5361
4/16/90,4162
4/23/90,8727
4/30/90,3874
5/7/90,3038
5/14/90,10522
5/21/90,11439
5/29/90,8090
6/4/90,7794
6/11/90,8721
6/18/90,6439
6/25/90,7673
7/2/90,7641
7/9/90,4877
7/16/90,6496
7/23/90,10268
7/30/90,5050
8/6/90,3419
8/13/90,6535
8/20/90,6696
8/27/90,4557
9/4/90,9088
9/10/90,14766
9/17/90,5494
9/24/90,3138
10/1/90,3072
10/8/90,3663
10/15/90,2706
10/22/90,6834
10/29/90,8352
11/5/90,6662
11/12/90,6912
11/19/90,6074
11/26/90,5412
12/3/90,5744
12/10/90,5272
12/17/90,5692
12/24/90,4707
