time,low95:S:France__all,S:France__all,high95:S:France__all,low95:A:France__all,A:France__all,high95:A:France__all,low95:I:France__all,I:France__all,high95:I:France__all,low95:France__Sentinelles__inc,France__Sentinelles__inc,high95:France__Sentinelles__inc
1,6.40192e+07,6.40196e+07,6.402e+07,-4.32506,45.8246,95.9743,-255.338,-241.054,-226.769,1734.32,1751.38,1768.44
2,6.3985e+07,6.39855e+07,6.3986e+07,24287.8,24312.7,24337.5,4336.91,4347.62,4358.32,8087.53,8089.3,8091.08
3,6.39791e+07,6.39804e+07,6.39818e+07,22391,23430.5,24470.1,4639.06,4730.57,4822.08,5887.67,6075.53,6263.39
4,6.39725e+07,6.39744e+07,6.39763e+07,22146.8,23529,24911.3,4895.99,5032.03,5168.07,5885.58,6168.64,6451.7
5,6.39661e+07,6.39685e+07,6.39708e+07,21933.1,23544.7,25156.4,5091.67,5270.3,5448.93,5843.86,6188,6532.15
6,6.39596e+07,6.39624e+07,6.39652e+07,21905.4,23685.7,25466,5245.78,5463.94,5682.1,5854.25,6243.46,6632.68
7,6.39526e+07,6.39559e+07,6.39591e+07,22207.7,24119.3,26031,5396.81,5650.23,5903.66,5946.26,6370.59,6794.92
8,6.39467e+07,6.39504e+07,6.3954e+07,21932.8,23955.7,25978.7,5459.21,5743.53,6027.85,5882.32,6335.76,6789.19
9,6.39399e+07,6.39439e+07,6.39479e+07,22274.5,24377.8,26481.2,5563.3,5873.51,6183.72,5980.67,6456.58,6932.5
10,6.3934e+07,6.39383e+07,6.39427e+07,22109.2,24285.6,26462.1,5593.69,5925.96,6258.23,5941.74,6436.67,6931.61
11,6.39252e+07,6.39299e+07,6.39345e+07,23436.3,25664.7,27893.1,5814.26,6164.5,6514.75,6292.56,6802.22,7311.88
12,6.39199e+07,6.39249e+07,6.39299e+07,22878.4,25185.5,27492.5,5798.52,6165.75,6532.98,6148.71,6675.71,7202.71
13,6.39165e+07,6.39218e+07,6.39271e+07,21618.5,23966.9,26315.2,5639.6,6020.18,6400.77,5826.7,6366.24,6905.78
14,6.39124e+07,6.3918e+07,6.39235e+07,20960.1,23302.7,25645.3,5517.15,5906.08,6295,5657.36,6199.62,6741.89
15,6.39081e+07,6.39139e+07,6.39196e+07,20573.5,22895.4,25217.4,5418.64,5812.22,6205.81,5554.09,6093.86,6633.63
16,6.39014e+07,6.39073e+07,6.39132e+07,21298.9,23596.8,25894.6,5493.12,5888.78,6284.44,5740.1,6275.66,6811.23
17,6.38941e+07,6.39001e+07,6.39062e+07,22123,24428.5,26733.9,5617.11,6015.46,6413.82,5952.04,6488.23,7024.42
18,6.38847e+07,6.3891e+07,6.38972e+07,23624.9,25960.4,28295.9,5875.06,6277.24,6679.41,6344.14,6885.89,7427.64
19,6.38803e+07,6.38868e+07,6.38933e+07,22869.7,25270.7,27671.6,5815.2,6223.82,6632.44,6148.65,6702.67,7256.69
20,6.38748e+07,6.38816e+07,6.38883e+07,22692,25113.3,27534.5,5806.09,6219.17,6632.24,6107.37,6668.45,7229.52
21,6.38663e+07,6.38732e+07,6.38801e+07,23829.1,26260.1,28691.1,5992.94,6409.47,6826,6405.33,6969.57,7533.8
22,6.38635e+07,6.38706e+07,6.38777e+07,22462.2,24936.2,27410.2,5817.13,6238.95,6660.77,6050.73,6622.86,7194.98
23,6.38562e+07,6.38635e+07,6.38707e+07,23188.4,25649,28109.5,5918.5,6342.04,6765.58,6242.31,6814.79,7387.26
24,6.38479e+07,6.38553e+07,6.38627e+07,24158.4,26634.7,29111.1,6084.51,6510.85,6937.19,6494.48,7069.31,7644.14
25,6.38432e+07,6.38508e+07,6.38584e+07,23555.3,26072.4,28589.5,6026.41,6457.2,6887.99,6339.53,6921.98,7504.44
26,6.38369e+07,6.38446e+07,6.38524e+07,23739.5,26265.1,28790.7,6063.87,6497.41,6930.95,6390.16,6976.36,7562.56
27,6.38255e+07,6.38335e+07,6.38414e+07,25824.5,28362.8,30901.1,6406.08,6842.32,7278.56,6933.51,7522.56,8111.62
28,6.3824e+07,6.38321e+07,6.38403e+07,23779.7,26391.2,29002.6,6155.02,6597.9,7040.78,6406.59,7008.2,7609.81
29,6.38212e+07,6.38295e+07,6.38377e+07,22631.2,25228.2,27825.2,5961.63,6406.46,6851.28,6111.44,6714.88,7318.33
30,6.38165e+07,6.38249e+07,6.38333e+07,22411.5,24964.8,27518.2,5882.18,6325.62,6769.06,6051.13,6647.11,7243.08
31,6.38113e+07,6.38198e+07,6.38283e+07,22401.9,24920.9,27439.9,5842.2,6283.35,6724.5,6044.23,6632.64,7221.04
32,6.38147e+07,6.38232e+07,6.38318e+07,19202.2,21698.1,24194,5294.18,5732.94,6171.71,5206.6,5789.51,6372.41
33,6.38143e+07,6.38228e+07,6.38314e+07,17974.9,20346.9,22718.8,4977.55,5405.06,5832.57,4880.3,5440.35,6000.4
34,6.38093e+07,6.38178e+07,6.38263e+07,18548.2,20798.3,23048.3,4959.01,5372.5,5786,5019.68,5552.74,6085.79
35,6.38027e+07,6.38112e+07,6.38197e+07,19519.6,21710.4,23901.1,5059.3,5462.5,5865.69,5264.95,5782.16,6299.37
36,6.37955e+07,6.3804e+07,6.38126e+07,20510.8,22692,24873.1,5208.27,5605.49,6002.72,5519.8,6032.02,6544.25
37,6.37902e+07,6.37988e+07,6.38075e+07,20636.1,22838.9,25041.7,5244.66,5639.61,6034.56,5550.09,6064.75,6579.41
38,6.37868e+07,6.37956e+07,6.38043e+07,20065.6,22283.5,24501.4,5166.52,5560.35,5954.18,5401.29,5918.98,6436.67
39,6.37848e+07,6.37936e+07,6.38025e+07,19106.5,21314.8,23523,5004.57,5396.48,5788.39,5151.1,5667.65,6184.21
40,6.37799e+07,6.37888e+07,6.37977e+07,19341.6,21512.4,23683.1,5011.39,5399.34,5787.29,5213.6,5723.18,6232.77
41,6.37768e+07,6.37857e+07,6.37946e+07,18901.8,21055.9,23210.1,4923.43,5308.5,5693.56,5094.59,5599.54,6104.5
42,6.37718e+07,6.37807e+07,6.37897e+07,19180,21308,23436,4945.86,5327.33,5708.8,5167.31,5666.8,6166.29
43,6.37698e+07,6.37788e+07,6.37879e+07,18312.2,20431.5,22550.7,4794.73,5173.8,5552.86,4935.79,5432.4,5929.02
44,6.37687e+07,6.37777e+07,6.37868e+07,17284.3,19368.4,21452.4,4594.54,4969.37,5344.2,4665.36,5155.26,5645.15
45,6.37647e+07,6.37737e+07,6.37828e+07,17435.3,19461.8,21488.3,4568.75,4937.03,5305.31,4704.71,5182.79,5660.87
46,6.37595e+07,6.37686e+07,6.37777e+07,17922.2,19916,21909.9,4618.71,4981.68,5344.64,4828.89,5298.62,5768.35
47,6.37525e+07,6.37617e+07,6.37708e+07,18965.8,20952.8,22939.8,4784.35,5144.08,5503.82,5101.79,5568.55,6035.31
48,6.3741e+07,6.37502e+07,6.37595e+07,21424.4,23438.5,25452.6,5212.33,5572.03,5931.72,5750.23,6220.85,6691.48
49,6.37334e+07,6.37428e+07,6.37522e+07,22130.4,24236.5,26342.6,5412.96,5778.25,6143.54,5931.75,6418.26,6904.78
50,6.37308e+07,6.37403e+07,6.37498e+07,20954.4,23141.5,25328.6,5312.8,5685.33,6057.87,5628.05,6132.27,6636.49
