date,NJ__FluTrends__inc
1/1/12,2510
1/8/12,2136
1/15/12,2006
1/22/12,1962
1/29/12,1971
2/5/12,1716
2/12/12,1635
2/19/12,1600
2/26/12,1453
3/4/12,1514
3/11/12,1431
3/18/12,1314
3/25/12,1310
4/1/12,1365
4/8/12,1535
4/15/12,1620
4/22/12,1488
4/29/12,1432
5/6/12,1428
5/13/12,1367
5/20/12,1197
5/27/12,1081
6/3/12,1028
6/10/12,1028
6/17/12,814
6/24/12,702
7/1/12,699
7/8/12,680
7/15/12,621
7/22/12,568
7/29/12,611
8/5/12,638
8/12/12,722
8/19/12,747
8/26/12,824
9/2/12,824
9/9/12,979
9/16/12,1366
9/23/12,1645
9/30/12,1795
10/7/12,1921
10/14/12,1940
10/21/12,1737
10/28/12,1162
11/4/12,1498
11/11/12,1849
11/18/12,1869
11/25/12,2529
12/2/12,3313
12/9/12,4032
12/16/12,5092
12/23/12,8181
12/30/12,10972
1/6/13,17400
1/13/13,20896
1/20/13,13573
1/27/13,9349
2/3/13,6909
2/10/13,5290
2/17/13,4746
2/24/13,4206
3/3/13,3754
3/10/13,3518
3/17/13,2843
3/24/13,2545
3/31/13,2210
4/7/13,1801
4/14/13,1287
4/21/13,1328
4/28/13,1094
5/5/13,1091
5/12/13,1056
