index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
0,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
1,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
2,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
3,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
4,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
5,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
6,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
7,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
8,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
9,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
10,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
11,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
12,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
13,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
14,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
15,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
16,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
17,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
18,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
19,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
20,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
21,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
22,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
23,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
24,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
25,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
26,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
27,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
28,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
