time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
1,2952.68,2963.3,2973.92,3474.83,3476.57,3478.3,2454.63,2455.45,2456.27
2,194.975,322.013,449.051,3667.93,3780.97,3894.02,1536.3,1612.62,1688.95
3,5563.73,5641.06,5718.39,1394.83,1472.26,1549.69,2205.48,2218.32,2231.17
4,1894.72,2059.27,2223.82,3426.78,3557.38,3687.98,2090.93,2178.42,2265.92
5,-7.09677,159.133,325.364,3567.19,3675.88,3784.58,1625.55,1679.26,1732.97
6,11419.2,11478.1,11536.9,1951.27,2027.42,2103.56,3018.29,3026.69,3035.1
7,6350.67,6876.97,7403.27,4171.2,4587,5002.8,2477.29,2793.25,3109.21
8,2558.69,3182.07,3805.45,4839.31,5199.15,5558.99,2082.64,2332.62,2582.59
9,2013.31,2464.54,2915.76,4205.67,4398.63,4591.59,1732.45,1857.04,1981.63
10,1873.69,2202.56,2531.43,3749.53,3895.89,4042.25,1398.23,1483.21,1568.2
11,1478.78,1736.37,1993.95,3323.22,3453.08,3582.95,1095.17,1162.56,1229.94
12,1348.91,1553.96,1759,2946.85,3057.82,3168.8,931.547,979.779,1028.01
13,1163.34,1334.48,1505.62,2638.89,2735.84,2832.8,823.58,862.342,901.104
14,1064.9,1210.91,1356.91,2405.36,2490.49,2575.62,759.526,790.073,820.621
15,938.05,1065.77,1193.49,2142.7,2219.44,2296.18,649.517,675.248,700.979
16,863.616,976.96,1090.3,1828.8,1898.13,1967.46,512,532.912,553.824
17,820.586,923.16,1025.73,1585.4,1647.9,1710.39,445.499,462.642,479.785
18,781.251,875.709,970.168,1396.74,1453.67,1510.6,396.084,410.72,425.357
19,759.032,847.139,935.247,1342.12,1394.55,1446.99,421.485,434.218,446.951
20,707.035,789.896,872.757,1286.45,1336.5,1386.56,404.187,416.172,428.158
21,671.323,749.539,827.756,1294.97,1343.19,1391.42,427.413,438.386,449.359
22,619.128,693.17,767.212,1212.96,1260.47,1307.98,368.76,379.306,389.852
23,596.673,667.001,737.328,1206.19,1252.12,1298.04,386.575,396.06,405.545
24,555.22,622.274,689.328,1120.11,1165.31,1210.51,331.025,340.178,349.331
25,536.061,600.234,664.407,1042.1,1085.73,1129.37,303.168,311.435,319.703
26,516.814,578.572,640.329,951.866,993.86,1035.85,267.334,275.002,282.669
27,503.613,563.362,623.111,854.898,895.038,935.177,231.548,238.583,245.618
28,499.431,557.562,615.694,894.727,932.825,970.923,285.156,291.597,298.038
29,475.133,531.745,588.357,855.937,893.94,931.943,252.655,259.217,265.779
30,463.002,518.231,573.46,863.364,900.673,937.982,266.907,273.083,279.26
31,446.096,500.036,553.976,842.446,879.597,916.748,251.91,258.005,264.1
32,433.837,486.6,539.363,905.329,942.057,978.784,296.685,302.543,308.4
33,412.599,464.155,515.712,838.085,875.55,913.015,236.672,242.677,248.682
34,406.894,457.406,507.919,845.766,882.403,919.039,257.695,263.249,268.803
35,392.987,442.544,492.101,862.829,899.294,935.759,267.419,272.943,278.467
36,378.142,426.763,475.383,1024.3,1060.91,1097.52,364.412,369.88,375.348
37,339.681,387.141,434.602,1205.18,1244.05,1282.92,437.99,443.911,449.833
38,322.104,368.032,413.959,1512.51,1554.24,1595.97,583.288,589.428,595.568
39,245.126,289.204,333.281,1734.17,1780.29,1826.42,636.963,643.795,650.626
40,356.577,397.995,439.413,1908.23,1957.6,2006.96,675.209,681.566,687.923
41,-40.5255,0.000494593,40.5265,2034.15,2086.82,2139.49,701.793,710.102,718.412
42,6881.83,6900.67,6919.5,1954.56,2007.44,2060.33,998.296,999.65,1001
43,4874.67,5117.43,5360.19,2223.11,2419.57,2616.03,945.931,1092.05,1238.16
44,3075.49,3384.35,3693.21,2405.33,2592.87,2780.41,943.445,1056.68,1169.92
45,1874.91,2184.04,2493.16,2295.76,2436.14,2576.53,834.779,908.232,981.684
46,1786.83,2058.86,2330.88,2210.92,2311.17,2411.43,936.602,982.039,1027.48
47,1710.94,1947.76,2184.58,2165.26,2252.75,2340.24,846.247,887.474,928.7
48,1611.52,1818.79,2026.05,2374.38,2457.76,2541.13,987.426,1025.51,1063.59
49,1318.62,1500.6,1682.58,2426.26,2510.12,2593.99,920.066,957.887,995.707
50,1219.56,1377.45,1535.34,2590.81,2671.02,2751.22,1011.57,1043.46,1075.36
51,950.579,1089.04,1227.5,2915.29,2994.49,3073.69,1192.94,1223.47,1254.01
52,882.867,1001.35,1119.82,3283.79,3361.98,3440.17,1354.74,1381.51,1408.27
53,465.24,568.095,670.951,3558.07,3638.1,3718.13,1420.56,1447.19,1473.82
54,1182.18,1262.89,1343.6,3532.35,3609.72,3687.09,1299.6,1317.4,1335.19
55,-139.032,-53.4704,32.0909,3238.79,3324.61,3410.44,1068.2,1101.45,1134.71
56,9029.01,9045.41,9061.82,2448.34,2520.42,2592.49,1926.4,1928.16,1929.92
57,5597.95,6018.02,6438.09,3292.39,3623.17,3953.95,1589.44,1842.87,2096.31
58,3083.04,3583.54,4084.04,3464.35,3750.78,4037.2,1323.13,1506.82,1690.5
59,1908.7,2349.44,2790.18,3114.34,3297.29,3480.25,1114.56,1220.99,1327.42
60,2160.28,2500.95,2841.62,2784.53,2909.66,3034.78,1086.88,1151.94,1216.99
61,1795.32,2080.18,2365.04,2641.62,2755.72,2869.82,958.279,1019.43,1080.58
62,1683.78,1920.86,2157.94,2632.51,2735.15,2837.79,977.085,1025.57,1074.05
63,1410.93,1613.01,1815.08,2559.98,2656.26,2752.54,904.063,947.943,991.824
64,1256.5,1429.18,1601.86,2427.66,2515.75,2603.84,820.27,856.234,892.197
65,1121.17,1271.1,1421.02,2346.05,2426.98,2507.91,802.672,833.14,863.608
66,997.485,1129.23,1260.98,2333.5,2408.86,2484.23,821.916,848.294,874.671
67,877.344,993.987,1110.63,2442.61,2514.18,2585.75,908.262,931.659,955.057
68,735.213,838.645,942.078,2545.33,2615.19,2685.06,946.291,967.73,989.169
69,651.594,742.801,834.007,2497.2,2565.82,2634.43,867.585,886.562,905.539
70,553.041,634.188,715.335,2437.07,2503.87,2570.68,829.969,846.761,863.554
71,519.874,592.22,664.567,2414.99,2479.66,2544.34,827.438,841.884,856.329
72,383.213,448.722,514.231,2353.72,2417.17,2480.61,784.537,798.018,811.5
73,501.532,559.831,618.131,2217.72,2279.11,2340.51,701.759,712.486,723.213
