time,low95:S:NJ__all,S:NJ__all,high95:S:NJ__all,low95:I:NJ__all,I:NJ__all,high95:I:NJ__all,low95:NJ__FluTrends__inc,NJ__FluTrends__inc,high95:NJ__FluTrends__inc
1,3514.62,3525.15,3535.69,212.714,212.796,212.877,2801.94,2802.07,2802.2
2,170.623,187.037,203.451,42.8267,45.4226,48.0185,2687.52,2693.24,2698.97
3,-1869.52,-1850.21,-1830.89,98.9794,99.7658,100.552,2435.78,2436.15,2436.52
4,63987.2,64008.6,64030,334.486,335.626,336.767,2621.44,2621.53,2621.61
5,54454.9,60189,65923.1,-13981.4,3886.64,21754.7,-1524.3,3063.41,7651.11
6,45435.3,55136.1,64836.9,-2851.67,8807.13,20465.9,-2559.34,3779.62,10118.6
7,36324.6,47879.2,59433.7,-693.639,4915.04,10523.7,-1947.04,4013.32,9973.68
8,30899.8,42543.8,54187.9,-3555.52,1755.1,7065.72,-547.884,3025.49,6598.87
9,27622.1,38814.2,50006.3,-2069.53,488.008,3045.54,1295.42,2566.75,3838.08
10,25654.1,36479.5,47304.9,-185.957,331.732,849.422,1799.67,2070.27,2340.88
11,25387.8,35728.9,46070,39.0889,241.477,443.864,1533.32,1666.94,1800.56
12,26264.4,36227.4,46190.4,83.2281,188.374,293.52,1359.59,1439.77,1519.94
13,28010.7,37662.7,47314.7,91.6615,159.542,227.423,1251.86,1308.23,1364.6
14,30130.6,39530.3,48930,91.5539,144.051,196.548,1181.5,1227.02,1272.53
15,32068.4,41260.6,50452.8,76.3629,121.255,166.148,1020.57,1060.52,1100.47
16,33949.9,42965,51980,56.9255,92.3553,127.785,801.777,834.322,866.868
17,36359.4,45221.4,54083.4,52.9768,78.624,104.271,704.218,728.461,752.704
18,38762.8,47496.5,56230.1,48.2207,70.0824,91.9441,628.974,649.689,670.403
19,41534.3,50157.1,58780,56.1166,75.8872,95.6579,678.626,697.257,715.889
20,43536.5,52064.1,60591.6,52.6709,75.086,97.5012,651.016,671.56,692.104
21,45522.2,53962.3,62402.3,58.4803,81.3111,104.142,692.779,713.339,733.898
22,46768.8,55129,63489.2,46.1636,72.3923,98.6211,592.275,615.083,637.891
23,48230,56513.4,64796.7,54.0075,79.0241,104.041,624.832,645.894,666.955
24,49032.8,57244.4,65456,40.9022,71.5736,102.245,528.348,552.651,576.955
25,49741.7,57882,66022.3,37.9649,69.7643,101.564,481.294,504.997,528.699
26,50184.4,58255,66325.6,29.4058,66.2543,103.103,419.077,444.467,469.856
