"date","France__Sentinelles__inc"
"1988-01-04",4380
"1988-01-11",8259
"1988-01-18",4363
"1988-01-25",8099
"1988-02-01",6522
"1988-02-08",6362
"1988-02-16",6796
"1988-02-22",5532
"1988-02-29",6507
"1988-03-07",5667
"1988-03-14",8069
"1988-03-21",5355
"1988-03-28",4061
"1988-04-04",4691
"1988-04-11",4922
"1988-04-18",6362
"1988-04-25",6806
"1988-05-02",8143
"1988-05-09",5163
"1988-05-16",5816
"1988-05-23",7677
"1988-05-31",4276
"1988-06-06",6941
"1988-06-13",7583
"1988-06-20",5546
"1988-06-27",6518
"1988-07-05",9355
"1988-07-11",3694
"1988-07-18",4650
"1988-07-25",5633
"1988-08-01",5870
"1988-08-08",1545
"1988-08-15",3567
"1988-08-22",5309
"1988-08-29",6055
"1988-09-06",6509
"1988-09-12",5664
"1988-09-19",4686
"1988-09-26",3990
"1988-10-03",5343
"1988-10-10",4520
"1988-10-17",5365
"1988-10-24",3890
"1988-10-31",3477
"1988-11-07",4725
"1988-11-14",5235
"1988-11-21",6195
"1988-11-28",8732
"1988-12-05",7097
"1988-12-12",4078
"1988-12-19",4193
"1988-12-27",3024
"1989-01-03",1975
"1989-01-09",9898
"1989-01-16",7950
"1989-01-23",8047
"1989-01-30",9256
"1989-02-06",8553
"1989-02-13",8652
"1989-02-21",10875
"1989-02-27",6969
"1989-03-06",8864
"1989-03-13",10773
"1989-03-20",7786
"1989-03-27",8835
"1989-04-03",11093
"1989-04-10",7512
"1989-04-17",9774
"1989-04-24",12764
"1989-05-01",13367
"1989-05-08",-
"1989-05-15",13973
"1989-05-22",8668
"1989-05-30",8771
"1989-06-05",7867
"1989-06-12",7694
"1989-06-19",9156
"1989-06-26",11739
"1989-07-03",14348
"1989-07-10",8302
"1989-07-17",11829
"1989-07-24",13075
"1989-07-31",7848
"1989-08-07",7831
"1989-08-14",6723
"1989-08-21",8970
"1989-08-28",6981
"1989-09-05",5916
"1989-09-11",5878
"1989-09-18",9521
"1989-09-25",7278
"1989-10-02",3538
"1989-10-09",5289
"1989-10-16",5277
"1989-10-23",3080
"1989-10-30",3820
"1989-11-06",5537
"1989-11-13",5046
"1989-11-20",3133
"1989-11-27",4880
"1989-12-04",4500
"1989-12-11",3967
"1989-12-18",3885
"1989-12-26",2100
"1990-01-02",2671
"1990-01-08",4223
"1990-01-15",3280
"1990-01-22",7482
"1990-01-29",5661
"1990-02-05",6167
"1990-02-12",5745
"1990-02-20",6357
"1990-02-26",7544
"1990-03-05",7699
"1990-03-12",7045
"1990-03-19",8105
"1990-03-26",6517
"1990-04-02",8507
"1990-04-09",5361
"1990-04-16",4162
"1990-04-23",8727
"1990-04-30",3874
"1990-05-07",3038
"1990-05-14",10522
"1990-05-21",11439
"1990-05-29",8090
"1990-06-04",7794
