time,low95:S:France__all,S:France__all,high95:S:France__all,low95:A:France__all,A:France__all,high95:A:France__all,low95:I:France__all,I:France__all,high95:I:France__all,low95:France__Sentinelles__inc,France__Sentinelles__inc,high95:France__Sentinelles__inc
1,6.23545e+07,6.23549e+07,6.23552e+07,431.74,448.343,464.945,-3712.21,-3701.82,-3691.44,4313.56,4313.86,4314.16
2,6.23553e+07,6.23559e+07,6.23564e+07,-26052.8,-26030.9,-26009,18308.3,18321.7,18335.1,8255.94,8255.95,8255.95
3,6.23562e+07,6.23568e+07,6.23575e+07,-16.4407,7.01222,30.4652,15561.3,15577.7,15594.1,2737.19,2746.48,2755.76
4,6.23571e+07,6.23578e+07,6.23585e+07,-19.7508,4.98291,29.7166,10205.2,10223.6,10242.1,5367,5375.13,5383.26
5,6.23579e+07,6.23588e+07,6.23596e+07,-27.7284,-2.18053,23.3673,5353.47,5372.77,5392.07,4885.34,4891.02,4896.69
6,6.23588e+07,6.23597e+07,6.23606e+07,-43.4792,-17.5051,8.4689,38.9323,58.4363,77.9403,5407.28,5410.46,5413.64
7,6.2357e+07,6.2358e+07,6.23589e+07,-1255.92,-1229.85,-1203.79,4616.3,4635.64,4654.98,6783.02,6783.05,6783.09
8,6.23579e+07,6.23589e+07,6.236e+07,-26.2592,0.181538,26.6223,-86.3426,-66.7022,-47.0618,4800.34,4803.11,4805.88
9,6.15427e+07,6.15438e+07,6.15449e+07,150451,150478,150504,1.95724e+06,1.95724e+06,1.95725e+06,6507,6507,6507
10,6.15331e+07,6.15354e+07,6.15376e+07,150480,152387,154293,1.95774e+06,1.95798e+06,1.95822e+06,6252.42,6407.99,6563.57
11,6.15238e+07,6.15268e+07,6.15299e+07,151586,154300,157014,1.95842e+06,1.95878e+06,1.95914e+06,6291.63,6447.25,6602.86
12,6.15144e+07,6.15182e+07,6.1522e+07,152871,156216,159562,1.95922e+06,1.95971e+06,1.9602e+06,6252.84,6408.49,6564.14
13,6.1505e+07,6.15095e+07,6.1514e+07,154246,158133,162021,1.96012e+06,1.96075e+06,1.96138e+06,6236.2,6391.9,6547.59
14,6.14956e+07,6.15007e+07,6.15058e+07,155679,160053,164428,1.96108e+06,1.96188e+06,1.96267e+06,6249.3,6405.05,6560.79
15,6.14861e+07,6.14918e+07,6.14975e+07,157153,161976,166799,1.96211e+06,1.96309e+06,1.96407e+06,6256.57,6412.37,6568.17
16,6.14764e+07,6.14828e+07,6.14891e+07,158668,163911,169154,1.9632e+06,1.96438e+06,1.96557e+06,6282.56,6438.42,6594.28
17,6.14667e+07,6.14736e+07,6.14806e+07,160214,165855,171497,1.96435e+06,1.96576e+06,1.96717e+06,6293.57,6449.5,6605.44
18,6.14569e+07,6.14644e+07,6.14719e+07,161801,167823,173845,1.96557e+06,1.96722e+06,1.96887e+06,6318.46,6474.47,6630.48
19,6.1447e+07,6.14551e+07,6.14632e+07,163362,169751,176139,1.9669e+06,1.9688e+06,1.9707e+06,6277.83,6433.94,6590.04
20,6.1437e+07,6.14457e+07,6.14544e+07,164948,171691,178434,1.96829e+06,1.97047e+06,1.97264e+06,6292.94,6449.14,6605.34
21,6.14268e+07,6.14361e+07,6.14455e+07,166594,173682,180770,1.96975e+06,1.97221e+06,1.97468e+06,6326.68,6482.99,6639.3
22,6.14166e+07,6.14266e+07,6.14366e+07,168154,175578,183002,1.9713e+06,1.97407e+06,1.97683e+06,6280.62,6437.05,6593.48
23,6.14062e+07,6.14168e+07,6.14274e+07,169810,177564,185317,1.97293e+06,1.976e+06,1.97908e+06,6327.15,6483.71,6640.28
24,6.13957e+07,6.14069e+07,6.14182e+07,171508,179584,187659,1.97464e+06,1.97804e+06,1.98145e+06,6343.18,6499.89,6656.6
25,6.13852e+07,6.13971e+07,6.14089e+07,173123,181516,189909,1.97641e+06,1.98016e+06,1.98391e+06,6318.78,6475.65,6632.52
26,6.13745e+07,6.1387e+07,6.13995e+07,174795,183501,192207,1.97828e+06,1.98238e+06,1.98648e+06,6340.37,6497.41,6654.45
27,6.13634e+07,6.13766e+07,6.13898e+07,176654,185669,194683,1.98029e+06,1.98475e+06,1.98922e+06,6390.65,6547.88,6705.11
28,6.13528e+07,6.13667e+07,6.13805e+07,178143,187463,196782,1.98224e+06,1.98708e+06,1.99193e+06,6312.16,6469.6,6627.04
29,6.1342e+07,6.13566e+07,6.13711e+07,179692,189313,198933,1.98427e+06,1.98951e+06,1.99474e+06,6334.13,6491.78,6649.44
30,6.1331e+07,6.13463e+07,6.13615e+07,181318,191237,201156,1.98641e+06,1.99205e+06,1.99769e+06,6356.81,6514.71,6672.6
31,6.13199e+07,6.13358e+07,6.13517e+07,182965,193179,203394,1.98862e+06,1.99468e+06,2.00073e+06,6368.5,6526.65,6684.79
32,6.13095e+07,6.13261e+07,6.13427e+07,184147,194654,205161,1.99063e+06,1.99711e+06,2.00359e+06,6310.92,6469.34,6627.76
33,6.12987e+07,6.1316e+07,6.13334e+07,185521,196318,207114,1.99279e+06,1.99971e+06,2.00662e+06,6349.38,6508.08,6666.78
34,6.12875e+07,6.13055e+07,6.13236e+07,187092,198176,209260,1.99513e+06,2.0025e+06,2.00986e+06,6384.15,6543.16,6702.16
35,6.1276e+07,6.12947e+07,6.13135e+07,188760,200129,211498,1.99761e+06,2.00543e+06,2.01325e+06,6404.35,6563.69,6723.03
36,6.12642e+07,6.12838e+07,6.13033e+07,190495,202148,213801,2.0002e+06,2.00849e+06,2.01678e+06,6420.55,6580.24,6739.93
37,6.12526e+07,6.12729e+07,6.12932e+07,192095,204030,215965,2.00276e+06,2.01153e+06,2.0203e+06,6417.24,6577.3,6737.37
38,6.12413e+07,6.12624e+07,6.12834e+07,193512,205728,217945,2.00524e+06,2.0145e+06,2.02376e+06,6411.73,6572.19,6732.66
39,6.12302e+07,6.12521e+07,6.12739e+07,194774,207269,219764,2.00763e+06,2.01739e+06,2.02715e+06,6410.22,6571.1,6731.98
40,6.12186e+07,6.12412e+07,6.12638e+07,196281,209053,221826,2.01028e+06,2.02055e+06,2.03082e+06,6440.05,6601.36,6762.68
41,6.12073e+07,6.12307e+07,6.12541e+07,197590,210639,223688,2.0128e+06,2.02359e+06,2.03438e+06,6437.1,6598.88,6760.66
42,6.11955e+07,6.12197e+07,6.12439e+07,199071,212394,225717,2.01553e+06,2.02685e+06,2.03816e+06,6459.59,6621.85,6784.11
43,6.11845e+07,6.12095e+07,6.12346e+07,200161,213757,227353,2.01793e+06,2.02978e+06,2.04164e+06,6446.65,6609.43,6772.2
44,6.11738e+07,6.11996e+07,6.12255e+07,201098,214965,228832,2.02019e+06,2.0326e+06,2.045e+06,6449.08,6612.39,6775.69
45,6.11624e+07,6.1189e+07,6.12157e+07,202339,216475,230612,2.02279e+06,2.03575e+06,2.04871e+06,6477.11,6640.96,6804.81
46,6.11506e+07,6.11781e+07,6.12056e+07,203703,218107,232511,2.02555e+06,2.03907e+06,2.0526e+06,6494.71,6659.15,6823.58
47,6.11382e+07,6.11665e+07,6.11949e+07,205352,220022,234693,2.02866e+06,2.04276e+06,2.05686e+06,6520.04,6685.09,6850.14
48,6.11238e+07,6.1153e+07,6.11822e+07,207857,222793,237729,2.03279e+06,2.04748e+06,2.06216e+06,6571.72,6737.43,6903.14
49,6.11104e+07,6.11405e+07,6.11706e+07,209813,225015,240218,2.03643e+06,2.0517e+06,2.06698e+06,6560.45,6726.88,6893.31
50,6.10995e+07,6.11305e+07,6.11614e+07,210634,226103,241572,2.03882e+06,2.05469e+06,2.07056e+06,6525.13,6692.29,6859.45
51,6.10886e+07,6.11205e+07,6.11523e+07,211448,227181,242915,2.0412e+06,2.05768e+06,2.07416e+06,6535.75,6703.62,6871.49
52,6.10789e+07,6.11117e+07,6.11444e+07,211718,227714,243710,2.04292e+06,2.06002e+06,2.07712e+06,6525.53,6694.14,6862.75
53,6.10706e+07,6.11042e+07,6.11378e+07,211446,227700,243955,2.04393e+06,2.06165e+06,2.07937e+06,6514.84,6684.19,6853.54
54,6.10538e+07,6.10883e+07,6.11229e+07,214742,231252,247762,2.04942e+06,2.06777e+06,2.08613e+06,6649.06,6819.15,6989.24
55,6.10389e+07,6.10744e+07,6.11098e+07,217156,233924,250691,2.05394e+06,2.07293e+06,2.09192e+06,6636.19,6807.22,6978.25
56,6.10237e+07,6.10601e+07,6.10964e+07,219643,236669,253694,2.05868e+06,2.07831e+06,2.09795e+06,6653.81,6825.78,6997.74
