"date","city1__CDC__prev"
"2012-08-02",6
"2012-08-09",12
"2012-08-16",null
"2012-08-23",null
"2012-08-30",null
"2012-09-06",null
"2012-09-13",null
"2012-09-20",null
"2012-09-27",null
"2012-10-04",null
"2012-10-11",null
"2012-10-18",null
"2012-10-25",null
"2012-11-01",null
"2012-11-08",null
"2012-11-15",null
"2012-11-22",null
"2012-11-29",null
"2012-12-06",null
"2012-12-13",null
"2012-12-20",null
"2012-12-27",null
"2013-01-03",null
"2013-01-10",null
"2013-01-17",null
"2013-01-24",null
"2013-01-31",null
"2013-02-07",null
"2013-02-14",null
"2013-02-21",null
"2013-02-28",null
"2013-03-07",null
"2013-03-14",null
"2013-03-21",null
"2013-03-28",null
"2013-04-04",null
"2013-04-11",null
"2013-04-18",null
"2013-04-25",null
"2013-05-02",null
"2013-05-09",null
"2013-05-16",null
"2013-05-23",null
"2013-05-30",null
"2013-06-06",null
"2013-06-13",null
"2013-06-20",null
"2013-06-27",null
"2013-07-04",null
"2013-07-11",null
"2013-07-18",null
"2013-07-25",2
