index,time,S:city1__all,S:city2__all,I:city1__all,I:city2__all,obs_mean:all__CDC__inc,obs_mean:all__google__inc,obs_mean:city2__CDC__inc,obs_mean:city1__CDC__prev,obs_real:all__CDC__inc,obs_real:all__google__inc,obs_real:city2__CDC__inc,obs_real:city1__CDC__prev
0,52,32559.1,20670.8,6.84575,0.0112274,3.06674,3.06674,0.00326259,3.92002,4.19381,3.14668,0.00248044,4.78204
0,51,32301.6,20406.4,8.42817,0.0145261,3.78363,3.78363,0.00417926,4.82615,4.8833,4.50488,0.00635013,1.98512
0,50,32044.9,20141.9,10.4172,0.0189021,4.68648,4.68648,0.00538336,5.96509,6.70002,5.62509,0.0476583,6.96678
0,49,31789.2,19877.3,12.926,0.0247379,5.82752,5.82752,0.00697303,7.40171,5.36642,6.20266,0.142556,5.10269
0,48,31534.7,19612.6,16.1017,0.0325617,7.27463,7.27463,0.00908245,9.22015,6.25354,11.4872,0,6.91504
0,47,31281.9,19347.9,20.1353,0.0431065,9.11632,9.11632,0.0118959,11.5299,8.55872,8.97291,0,6.55151
0,46,31031,19083.1,25.2763,0.0573947,11.4682,11.4682,0.0156675,14.4738,8.17179,9.99803,0.0338994,15.2808
0,45,30782.8,18818.3,31.8511,0.0768588,14.4818,14.4818,0.0207497,18.2386,11.525,14.687,0,16.6549
0,44,30537.8,18553.3,40.2875,0.103516,18.356,18.356,0.0276331,23.0695,19.7005,23.0767,0,20.97
0,43,30297.2,18288.4,51.1476,0.140223,23.3526,23.3526,0.0370043,29.2882,18.0472,24.9936,0,33.5432
0,42,30061.9,18023.3,65.1716,0.19104,29.8165,29.8165,0.0498285,37.3186,30.2084,23.878,0.0443086,45.0795
0,41,29833.8,17758.3,83.3351,0.261774,38.2032,38.2032,0.0674689,47.7194,25.2508,32.4883,0.0171707,60.2643
0,40,29614.7,17493.1,106.925,0.360764,49.1137,49.1137,0.0918602,61.2277,51.7284,29.9287,0.183369,61.6332
0,39,29407.4,17228,137.641,0.500053,63.3414,63.3414,0.125761,78.8161,63.245,58.2263,0,83.7814
0,38,29215.5,16962.8,177.722,0.697118,81.9322,81.9322,0.173125,101.767,104.477,82.5347,0,113.927
0,37,29043.4,16697.7,230.113,0.977445,106.261,106.261,0.239642,131.768,87.9266,95.2624,0.28387,143.123
0,36,28897.5,16432.5,298.676,1.3784,138.124,138.124,0.333544,171.028,158.068,146.61,0.538295,150.996
0,35,28785.5,16167.5,388.436,1.95503,179.854,179.854,0.466796,222.427,190.085,161.841,0.570898,204.667
0,34,28718.3,15902.7,505.87,2.78885,234.44,234.44,0.656877,289.672,248.263,269.057,0.37206,284.736
0,33,28709.8,15638.1,659.202,4.0012,305.644,305.644,0.929436,377.473,346.651,324.003,0.35376,409.4
0,32,28778.5,15373.9,858.638,5.77358,398.078,398.078,1.3223,491.674,377.958,419.417,1.77408,541.547
0,31,28948.8,15110.3,1116.41,8.37885,517.154,517.154,1.89155,639.281,521.729,414.902,2.87117,572.347
0,30,29252.6,14847.7,1446.4,12.2293,668.805,668.805,2.72067,828.24,717.476,796.907,3.31212,896.724
0,29,29731.6,14586.4,1862.88,17.9508,858.753,858.753,3.93468,1066.72,850.898,944.921,5.37038,968.353
0,28,30439,14327.2,2377.84,26.4984,1091.07,1091.07,5.72162,1361.6,979.308,1245.65,3.30122,1346.16
0,27,31441.7,14071,2996.08,39.3352,1365.72,1365.72,8.36595,1715.62,1601.82,1317.22,6.00629,1748.46
0,26,32820,13819.4,3707.51,58.7131,1675.11,1675.11,12.3002,2123,1601.09,1788.89,15.1381,2490.6
0,25,34664.1,13574.5,4476.98,88.1106,2000.1,2000.1,18.1863,2563.61,2131.66,2260.13,23.5424,2356.5
0,24,37062.5,13339.9,5234.48,132.917,2307.58,2307.58,27.0434,2997.37,2198.6,2212.09,23.4786,2928.6
0,23,40078.7,13120.7,5872.75,201.5,2553.27,2553.27,40.453,3362.86,2253.74,2966.28,47.2312,2817.41
0,22,43713.2,12924.9,6262.48,306.854,2693.5,2693.5,60.891,3586.03,2947.26,2641.07,52.7035,4224.71
0,21,47861.5,12764.7,6291.7,469.111,2705.72,2705.72,92.2785,3602.76,2272.33,2555.4,88.6803,3172.8
0,20,52292.2,12659.3,5918.35,719.265,2608.79,2608.79,140.913,3388.97,2790.25,2692.5,140.008,3722.12
0,19,56677.3,12638.8,5202.66,1104.39,2468.55,2468.55,217.096,2979.15,2574.2,2434.76,212.516,3241.76
0,18,60679.5,12751.3,4288.32,1694.23,2383.25,2383.25,338.054,2455.58,1963.25,2361.17,302.647,2534.35
0,17,64052.8,13075.2,3340.49,2587.29,2458.57,2458.57,533.282,1912.84,2654.5,3056.68,576.4,2359.5
0,16,66695,13740.1,2485.33,3910.15,2785.84,2785.84,854.15,1423.15,2911.29,2408.18,876.372,1405.81
0,15,68634,14965.6,1785.75,5792.46,3418.69,3418.69,1389.05,1022.56,3508.2,3617.82,1329.47,1078.14
0,14,69974.9,17125.7,1251.57,8278.85,4322.37,4322.37,2275.32,716.677,4071.44,5070.85,2165.56,748.377
0,13,70848.2,20834.3,862.635,11118.4,5271.68,5271.68,3650.15,493.963,4322.33,5469.43,4266.31,493.719
0,12,71375.9,26945.1,588.325,13446.1,5767.88,5767.88,5375.45,336.887,6434.15,6004.38,6017.72,355.52
0,11,71657.4,36071,398.818,13788.6,5268.44,5268.44,6560.55,228.371,4440.93,4993.21,6773.79,243.737
0,10,71768,47269.3,269.568,11300.2,3841.76,3841.76,6047.72,154.36,3982.35,3184.5,6807.66,153.757
0,9,71761.6,57575,182.071,7291.1,2267.51,2267.51,4153.57,104.258,2482.76,1993.19,4003.84,89.8962
0,8,71675.8,64575.2,123.065,3891.5,1153.95,1153.95,2280.66,70.4697,1140.25,1210.08,2504.52,57.2616
0,7,71536.5,68306,83.3274,1852.25,542.757,542.757,1098.39,47.715,469.235,643.097,1132.26,49.7348
0,6,71361.1,69972.9,56.5576,833.38,247.824,247.824,496.387,32.3861,193.183,235.904,430.265,31.1569
0,5,71161.4,70588.7,38.4984,366.308,113.096,113.096,218.456,22.045,100.411,99.2616,204.19,26.3929
0,4,70945.3,70719.3,26.2891,159.823,52.5134,52.5134,95.3009,15.0537,51.2877,43.5107,74.4954,21.3887
0,3,70718.1,70634.8,18.0127,69.719,25.1318,25.1318,41.5421,10.3145,21.1708,25.9896,41.6627,10.0366
