index,S:city1__all,S:city2__all,I:all,r0:city1__all,r0:city2__all,v:all,sto:all,rep:all,phi:CDC,phi:google,log_like
0,0.07,0.07,5.92025e-06,21.7204,30.8562,9.96323,0.1,0.572621,0.1,0.1,-824.652602
1,0.07,0.07,5.92025e-06,21.7204,30.8562,9.96323,0.1,0.572621,0.1,0.1,-824.652602
2,0.07,0.07,5.92025e-06,21.7204,30.8562,9.96323,0.1,0.572621,0.1,0.1,-824.652602
3,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
4,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
5,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
6,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
7,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
8,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
9,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
10,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
11,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
12,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
13,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
14,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
15,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
16,0.07,0.07,5.93569e-06,21.7351,30.9798,9.99812,0.1,0.573665,0.1,0.1,-825.665408
17,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
18,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
19,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
20,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
21,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
22,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
23,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
24,0.07,0.07,5.93893e-06,21.7856,30.9195,9.97812,0.1,0.57318,0.1,0.1,-828.186508
25,0.07,0.07,5.86399e-06,21.6493,30.8486,9.88067,0.1,0.572639,0.1,0.1,-826.984266
26,0.07,0.07,5.86399e-06,21.6493,30.8486,9.88067,0.1,0.572639,0.1,0.1,-826.984266
