index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
0,0.07,1.00753e-05,20.3023,10.5687,0.1,0.601799,0.1,-22700.251750
1,0.07,1.00753e-05,20.3023,10.5687,0.1,0.601799,0.1,-22700.251750
2,0.07,1.00753e-05,20.3023,10.5687,0.1,0.601799,0.1,-22700.251750
3,0.07,1.01988e-05,20.0375,10.516,0.1,0.601124,0.1,-22670.719036
4,0.07,1.01988e-05,20.0375,10.516,0.1,0.601124,0.1,-22670.719036
5,0.07,1.01988e-05,20.0375,10.516,0.1,0.601124,0.1,-22670.719036
6,0.07,1.0138e-05,20.0645,10.4403,0.1,0.603089,0.1,-22669.995357
7,0.07,1.01302e-05,20.1401,10.4111,0.1,0.601019,0.1,-22668.405113
8,0.07,1.02857e-05,19.5322,10.3719,0.1,0.602066,0.1,-22591.487353
9,0.07,1.02857e-05,19.5322,10.3719,0.1,0.602066,0.1,-22591.487353
10,0.07,1.02857e-05,19.5322,10.3719,0.1,0.602066,0.1,-22591.487353
11,0.07,1.02857e-05,19.5322,10.3719,0.1,0.602066,0.1,-22591.487353
12,0.07,1.03486e-05,18.9187,10.437,0.1,0.604054,0.1,-22317.654559
13,0.07,1.03486e-05,18.9187,10.437,0.1,0.604054,0.1,-22317.654559
14,0.07,1.06079e-05,18.2663,10.366,0.1,0.601572,0.1,-22135.538659
15,0.07,1.07617e-05,17.5832,10.2633,0.1,0.606024,0.1,-21834.905591
16,0.07,1.09944e-05,16.425,10.2441,0.1,0.606838,0.1,-21353.927057
17,0.07,1.09944e-05,16.425,10.2441,0.1,0.606838,0.1,-21353.927057
18,0.07,1.18984e-05,14.2336,10.0871,0.1,0.607419,0.1,-20875.340403
19,0.07,1.17346e-05,14.3079,10.1332,0.1,0.611677,0.1,-20842.244042
20,0.07,1.17346e-05,14.3079,10.1332,0.1,0.611677,0.1,-20842.244042
21,0.07,1.1333e-05,15.5503,10.2802,0.1,0.607634,0.1,-20586.578689
