"date","Paris__Sentinelles__inc"
"1991-01-02",1534
"1991-01-07",1795
"1991-01-14",1891
"1991-01-21",1197
"1991-01-28",1359
"1991-02-04",1912
"1991-02-11",1770
"1991-02-19",1791
"1991-02-25",1389
"1991-03-04",2459
"1991-03-11",3700
"1991-03-18",2193
"1991-03-25",1331
"1991-04-01",2455
"1991-04-08",2612
"1991-04-15",1886
"1991-04-22",2588
"1991-04-29",2297
"1991-05-06",1116
"1991-05-13",1280
"1991-05-20",1403
"1991-05-28",2132
"1991-06-03",2400
"1991-06-10",1427
"1991-06-17",1970
"1991-06-24",2819
"1991-07-01",1716
"1991-07-08",1013
"1991-07-15",4821
"1991-07-22",1817
"1991-07-29",2794
"1991-08-05",4679
"1991-08-12",706
"1991-08-19",1037
"1991-08-26",0
"1991-09-03",373
"1991-09-09",265
"1991-09-16",771
"1991-09-23",235
"1991-09-30",390
"1991-10-07",1120
"1991-10-14",1428
"1991-10-21",1799
"1991-10-28",815
"1991-11-04",834
"1991-11-11",728
"1991-11-18",2072
"1991-11-25",462
"1991-12-02",3856
"1991-12-09",3738
"1991-12-16",3866
"1991-12-23",1145
"1991-12-30",1365
"1992-01-06",2368
"1992-01-13",3515
"1992-01-20",3769
"1992-01-27",1644
"1992-02-03",3357
"1992-02-10",2056
"1992-02-18",1916
"1992-02-24",2671
"1992-03-02",1982
"1992-03-09",3313
"1992-03-16",3465
"1992-03-23",3591
"1992-03-30",4109
"1992-04-06",2463
"1992-04-13",4353
"1992-04-20",4943
"1992-04-27",4234
"1992-05-04",2056
"1992-05-11",6333
"1992-05-18",3641
"1992-05-26",4170
"1992-06-01",4536
"1992-06-08",3747
"1992-06-15",4680
"1992-06-22",4039
"1992-06-29",3832
"1992-07-06",969
"1992-07-13",638
"1992-07-20",1386
"1992-07-27",1438
"1992-08-03",2320
"1992-08-10",959
"1992-08-17",423
"1992-08-24",1050
"1992-08-31",233
"1992-09-08",83
"1992-09-14",328
"1992-09-21",433
"1992-09-28",630
"1992-10-05",524
"1992-10-12",431
"1992-10-19",1347
"1992-10-26",1377
"1992-11-02",1041
"1992-11-09",718
"1992-11-16",1048
"1992-11-23",875
"1992-11-30",2031
"1992-12-07",2248
"1992-12-14",943
"1992-12-21",942
"1992-12-28",3198
"1993-01-04",3862
"1993-01-11",1248
"1993-01-18",1190
"1993-01-25",956
"1993-02-01",2081
"1993-02-08",1746
"1993-02-16",1861
"1993-02-22",1159
"1993-03-01",727
"1993-03-08",720
"1993-03-15",1439
"1993-03-22",863
"1993-03-29",1323
"1993-04-05",1582
"1993-04-12",2055
"1993-04-19",2362
"1993-04-26",2389
"1993-05-03",1824
"1993-05-10",1880
"1993-05-17",878
"1993-05-24",2069
"1993-06-01",2586
"1993-06-07",3303
"1993-06-14",2225
"1993-06-21",1134
"1993-06-28",1802
"1993-07-06",1877
"1993-07-12",1607
"1993-07-19",1562
"1993-07-26",763
"1993-08-02",504
"1993-08-09",1766
"1993-08-16",585
"1993-08-23",451
"1993-08-30",86
"1993-09-07",19
"1993-09-13",241
"1993-09-20",244
"1993-09-27",725
"1993-10-04",867
"1993-10-11",3472
"1993-10-18",1014
"1993-10-25",432
"1993-11-01",812
"1993-11-08",929
"1993-11-15",1470
"1993-11-22",1917
"1993-11-29",1063
"1993-12-06",1958
"1993-12-13",1200
"1993-12-20",1470
"1993-12-27",1292
"1994-01-03",1175
"1994-01-10",1232
"1994-01-17",1522
"1994-01-24",2056
"1994-01-31",2611
"1994-02-07",4875
"1994-02-14",2156
"1994-02-22",2651
"1994-02-28",4314
"1994-03-07",2965
"1994-03-14",3284
"1994-03-21",2808
"1994-03-28",4457
"1994-04-04",6276
"1994-04-11",3778
"1994-04-18",2735
"1994-04-25",4526
"1994-05-02",2731
"1994-05-09",2443
"1994-05-16",3156
"1994-05-23",2126
"1994-05-31",1346
"1994-06-06",1680
"1994-06-13",4446
"1994-06-20",3525
"1994-06-27",2344
"1994-07-05",2185
"1994-07-11",911
"1994-07-18",1788
"1994-07-25",1730
"1994-08-01",569
"1994-08-08",0
"1994-08-15",2375
"1994-08-22",677
"1994-08-29",403
"1994-09-06",653
"1994-09-12",1116
"1994-09-19",1142
"1994-09-26",1614
"1994-10-03",318
"1994-10-10",605
"1994-10-17",1095
"1994-10-24",1452
"1994-10-31",989
"1994-11-07",554
"1994-11-14",1029
"1994-11-21",1188
"1994-11-28",217
"1994-12-05",608
"1994-12-12",1039
"1994-12-19",2088
"1994-12-27",2902
"1995-01-03",1363
"1995-01-09",1486
"1995-01-16",1320
"1995-01-23",2283
"1995-01-30",2748
"1995-02-06",1879
"1995-02-13",1645
"1995-02-21",1009
"1995-02-27",2623
"1995-03-06",1976
"1995-03-13",810
"1995-03-20",2000
"1995-03-27",2458
"1995-04-03",1219
"1995-04-10",2231
"1995-04-17",2174
"1995-04-24",480
"1995-05-01",1809
"1995-05-08",1726
"1995-05-15",2036
"1995-05-22",2052
"1995-05-30",2736
"1995-06-05",1475
"1995-06-12",2577
"1995-06-19",3364
"1995-06-26",3229
"1995-07-03",1258
"1995-07-10",489
"1995-07-17",2082
"1995-07-24",1871
"1995-07-31",1585
"1995-08-07",744
"1995-08-14",1069
"1995-08-21",388
"1995-08-28",0
"1995-09-05",144
"1995-09-11",21
"1995-09-18",263
"1995-09-25",143
"1995-10-02",242
"1995-10-09",860
"1995-10-16",1957
"1995-10-23",144
"1995-10-30",272
"1995-11-06",1258
"1995-11-13",1474
"1995-11-20",1235
"1995-11-27",1174
"1995-12-04",647
"1995-12-11",371
"1995-12-18",1755
"1995-12-26",2392
"1996-01-02",894
"1996-01-08",594
"1996-01-15",452
"1996-01-22",3954
"1996-01-29",1587
"1996-02-05",1742
"1996-02-12",2705
"1996-02-20",4562
"1996-02-26",2382
"1996-03-04",3102
"1996-03-11",2801
"1996-03-18",3849
"1996-03-25",2357
"1996-04-01",3961
"1996-04-08",2228
"1996-04-15",1564
"1996-04-22",1921
"1996-04-29",1676
"1996-05-06",2361
"1996-05-13",2999
"1996-05-20",2744
"1996-05-28",3322
"1996-06-03",2725
"1996-06-10",2860
"1996-06-17",1729
"1996-06-24",2357
"1996-07-01",4936
"1996-07-08",4439
"1996-07-15",3982
"1996-07-22",6064
"1996-07-29",2133
"1996-08-05",192
"1996-08-12",0
"1996-08-19",147
"1996-08-26",145
"1996-09-03",843
"1996-09-09",700
"1996-09-16",250
"1996-09-23",667
"1996-09-30",243
"1996-10-07",654
"1996-10-14",1258
"1996-10-21",1097
"1996-10-28",635
"1996-11-04",1324
"1996-11-11",951
"1996-11-18",1107
"1996-11-25",1345
"1996-12-02",1169
"1996-12-09",1915
"1996-12-16",1925
"1996-12-23",2083
"1996-12-30",2942
"1997-01-06",3533
"1997-01-13",2164
"1997-01-20",2288
"1997-01-27",2855
"1997-02-03",2807
"1997-02-10",3068
"1997-02-18",2696
"1997-02-24",2312
"1997-03-03",1140
"1997-03-10",1688
"1997-03-17",2689
"1997-03-24",5153
"1997-03-31",2890
"1997-04-07",2146
"1997-04-14",2005
"1997-04-21",1382
"1997-04-28",1499
"1997-05-05",1680
"1997-05-12",3667
"1997-05-19",2138
"1997-05-27",3280
"1997-06-02",3648
"1997-06-09",5205
"1997-06-16",2154
"1997-06-23",3598
"1997-06-30",1872
"1997-07-07",838
"1997-07-14",1077
"1997-07-21",1793
"1997-07-28",1303
"1997-08-04",2341
"1997-08-11",3698
"1997-08-18",134
"1997-08-25",0
"1997-09-02",844
"1997-09-08",378
"1997-09-15",0
"1997-09-22",830
"1997-09-29",750
"1997-10-06",221
"1997-10-13",281
"1997-10-20",238
"1997-10-27",56
"1997-11-03",278
"1997-11-10",556
"1997-11-17",1958
"1997-11-24",840
"1997-12-01",905
"1997-12-08",2020
"1997-12-15",1934
"1997-12-22",2460
"1997-12-29",2711
"1998-01-05",1784
"1998-01-12",389
"1998-01-20",1127
"1998-01-26",766
"1998-02-02",1596
"1998-02-09",2235
"1998-02-17",816
"1998-02-23",1639
"1998-03-02",471
"1998-03-09",3432
"1998-03-16",1798
"1998-03-23",1577
"1998-03-30",6752
"1998-04-06",6151
"1998-04-13",1019
"1998-04-20",1755
"1998-04-27",998
"1998-05-04",1207
"1998-05-11",1949
"1998-05-18",967
"1998-05-26",504
"1998-06-01",559
"1998-06-08",1420
"1998-06-15",3363
"1998-06-22",2568
"1998-06-29",3987
"1998-07-06",2213
"1998-07-13",2272
"1998-07-20",1708
"1998-07-27",2202
"1998-08-03",1681
"1998-08-10",291
"1998-08-17",187
"1998-08-24",658
"1998-08-31",916
"1998-09-08",1156
"1998-09-14",476
"1998-09-21",1072
"1998-09-28",1092
"1998-10-05",312
"1998-10-12",1202
"1998-10-19",410
"1998-10-26",1953
"1998-11-02",2516
"1998-11-09",663
"1998-11-16",827
"1998-11-23",2509
"1998-11-30",2262
"1998-12-07",2603
"1998-12-14",1375
"1998-12-21",1864
"1998-12-28",2211
"1999-01-04",2058
"1999-01-11",2359
"1999-01-19",4761
"1999-01-25",4241
"1999-02-01",17427
"1999-02-08",4344
"1999-02-16",2321
"1999-02-22",1271
"1999-03-01",3569
"1999-03-08",1660
"1999-03-15",820
"1999-03-22",1283
"1999-03-29",2158
"1999-04-05",3968
"1999-04-12",1794
"1999-04-19",1817
"1999-04-26",761
"1999-05-03",834
"1999-05-10",1874
"1999-05-17",1116
"1999-05-24",1743
"1999-06-01",1739
"1999-06-07",1505
"1999-06-14",1094
"1999-06-21",2903
"1999-06-28",2568
"1999-07-06",3179
"1999-07-12",1890
"1999-07-19",377
"1999-07-26",6434
"1999-08-02",722
"1999-08-09",2507
"1999-08-16",845
"1999-08-23",266
"1999-08-30",0
"1999-09-07",0
"1999-09-13",466
"1999-09-20",282
"1999-09-27",304
"1999-10-04",778
"1999-10-11",1029
"1999-10-18",1004
"1999-10-25",1512
"1999-11-01",1342
"1999-11-08",1974
"1999-11-15",615
"1999-11-22",828
"1999-11-29",502
"1999-12-06",970
"1999-12-13",720
"1999-12-20",788
"1999-12-27",1155
"2000-01-03",560
"2000-01-10",697
"2000-01-18",1213
"2000-01-24",2574
"2000-01-31",2045
"2000-02-07",303
"2000-02-14",1413
"2000-02-22",1520
"2000-02-28",1067
"2000-03-06",3583
"2000-03-13",4233
"2000-03-20",2755
"2000-03-27",3710
"2000-04-03",1494
"2000-04-10",1628
"2000-04-17",1996
"2000-04-24",1523
"2000-05-01",3443
"2000-05-08",1705
"2000-05-15",1513
"2000-05-22",2291
"2000-05-30",841
"2000-06-05",1968
"2000-06-12",3679
"2000-06-19",1742
"2000-06-26",1657
"2000-07-03",1912
