"dates","Paris__Sentinelles__all"
1/2/91,1534
1/7/91,1795
1/14/91,1891
1/21/91,1197
1/28/91,1359
2/4/91,1912
2/11/91,1770
2/19/91,1791
2/25/91,1389
3/4/91,2459
3/11/91,3700
3/18/91,2193
3/25/91,1331
4/1/91,2455
4/8/91,2612
4/15/91,1886
4/22/91,2588
4/29/91,2297
5/6/91,1116
5/13/91,1280
5/20/91,1403
5/28/91,2132
6/3/91,2400
6/10/91,1427
6/17/91,1970
6/24/91,2819
7/1/91,1716
7/8/91,1013
7/15/91,4821
7/22/91,1817
7/29/91,2794
8/5/91,4679
8/12/91,706
8/19/91,1037
8/26/91,0
9/3/91,373
9/9/91,265
9/16/91,771
9/23/91,235
9/30/91,390
10/7/91,1120
10/14/91,1428
10/21/91,1799
10/28/91,815
11/4/91,834
11/11/91,728
11/18/91,2072
11/25/91,462
12/2/91,3856
12/9/91,3738
12/16/91,3866
12/23/91,1145
12/30/91,1365
1/6/92,2368
1/13/92,3515
1/20/92,3769
1/27/92,1644
2/3/92,3357
2/10/92,2056
2/18/92,1916
2/24/92,2671
3/2/92,1982
3/9/92,3313
3/16/92,3465
3/23/92,3591
3/30/92,4109
4/6/92,2463
4/13/92,4353
4/20/92,4943
4/27/92,4234
5/4/92,2056
5/11/92,6333
5/18/92,3641
5/26/92,4170
6/1/92,4536
6/8/92,3747
6/15/92,4680
6/22/92,4039
6/29/92,3832
7/6/92,969
7/13/92,638
7/20/92,1386
7/27/92,1438
8/3/92,2320
8/10/92,959
8/17/92,423
8/24/92,1050
8/31/92,233
9/8/92,83
9/14/92,328
9/21/92,433
9/28/92,630
10/5/92,524
10/12/92,431
10/19/92,1347
10/26/92,1377
11/2/92,1041
11/9/92,718
11/16/92,1048
11/23/92,875
11/30/92,2031
12/7/92,2248
12/14/92,943
12/21/92,942
12/28/92,3198
1/4/93,3862
1/11/93,1248
1/18/93,1190
1/25/93,956
2/1/93,2081
2/8/93,1746
2/16/93,1861
2/22/93,1159
3/1/93,727
3/8/93,720
3/15/93,1439
3/22/93,863
3/29/93,1323
4/5/93,1582
4/12/93,2055
4/19/93,2362
4/26/93,2389
5/3/93,1824
5/10/93,1880
5/17/93,878
5/24/93,2069
6/1/93,2586
6/7/93,3303
6/14/93,2225
6/21/93,1134
6/28/93,1802
7/6/93,1877
7/12/93,1607
7/19/93,1562
7/26/93,763
8/2/93,504
8/9/93,1766
8/16/93,585
8/23/93,451
8/30/93,86
9/7/93,19
9/13/93,241
9/20/93,244
9/27/93,725
10/4/93,867
10/11/93,3472
10/18/93,1014
10/25/93,432
11/1/93,812
11/8/93,929
11/15/93,1470
11/22/93,1917
11/29/93,1063
12/6/93,1958
12/13/93,1200
12/20/93,1470
12/27/93,1292
1/3/94,1175
1/10/94,1232
1/17/94,1522
1/24/94,2056
1/31/94,2611
2/7/94,4875
2/14/94,2156
2/22/94,2651
2/28/94,4314
3/7/94,2965
3/14/94,3284
3/21/94,2808
3/28/94,4457
4/4/94,6276
4/11/94,3778
4/18/94,2735
4/25/94,4526
5/2/94,2731
5/9/94,2443
5/16/94,3156
5/23/94,2126
5/31/94,1346
6/6/94,1680
6/13/94,4446
6/20/94,3525
6/27/94,2344
7/5/94,2185
7/11/94,911
7/18/94,1788
7/25/94,1730
8/1/94,569
8/8/94,0
8/15/94,2375
8/22/94,677
8/29/94,403
9/6/94,653
9/12/94,1116
9/19/94,1142
9/26/94,1614
10/3/94,318
10/10/94,605
10/17/94,1095
10/24/94,1452
10/31/94,989
11/7/94,554
11/14/94,1029
11/21/94,1188
11/28/94,217
12/5/94,608
12/12/94,1039
12/19/94,2088
12/27/94,2902
1/3/95,1363
1/9/95,1486
1/16/95,1320
1/23/95,2283
1/30/95,2748
2/6/95,1879
2/13/95,1645
2/21/95,1009
2/27/95,2623
3/6/95,1976
3/13/95,810
3/20/95,2000
3/27/95,2458
4/3/95,1219
4/10/95,2231
4/17/95,2174
4/24/95,480
5/1/95,1809
5/8/95,1726
5/15/95,2036
5/22/95,2052
5/30/95,2736
6/5/95,1475
6/12/95,2577
6/19/95,3364
6/26/95,3229
7/3/95,1258
7/10/95,489
7/17/95,2082
7/24/95,1871
7/31/95,1585
8/7/95,744
8/14/95,1069
8/21/95,388
8/28/95,0
9/5/95,144
9/11/95,21
9/18/95,263
9/25/95,143
10/2/95,242
10/9/95,860
10/16/95,1957
10/23/95,144
10/30/95,272
11/6/95,1258
11/13/95,1474
11/20/95,1235
11/27/95,1174
12/4/95,647
12/11/95,371
12/18/95,1755
12/26/95,2392
1/2/96,894
1/8/96,594
1/15/96,452
1/22/96,3954
1/29/96,1587
2/5/96,1742
2/12/96,2705
2/20/96,4562
2/26/96,2382
3/4/96,3102
3/11/96,2801
3/18/96,3849
3/25/96,2357
4/1/96,3961
4/8/96,2228
4/15/96,1564
4/22/96,1921
4/29/96,1676
5/6/96,2361
5/13/96,2999
5/20/96,2744
5/28/96,3322
6/3/96,2725
6/10/96,2860
6/17/96,1729
6/24/96,2357
7/1/96,4936
7/8/96,4439
7/15/96,3982
7/22/96,6064
7/29/96,2133
8/5/96,192
8/12/96,0
8/19/96,147
8/26/96,145
9/3/96,843
9/9/96,700
9/16/96,250
9/23/96,667
9/30/96,243
10/7/96,654
10/14/96,1258
10/21/96,1097
10/28/96,635
11/4/96,1324
11/11/96,951
11/18/96,1107
11/25/96,1345
12/2/96,1169
12/9/96,1915
12/16/96,1925
12/23/96,2083
12/30/96,2942
1/6/97,3533
1/13/97,2164
1/20/97,2288
1/27/97,2855
2/3/97,2807
2/10/97,3068
2/18/97,2696
2/24/97,2312
3/3/97,1140
3/10/97,1688
3/17/97,2689
3/24/97,5153
3/31/97,2890
4/7/97,2146
4/14/97,2005
4/21/97,1382
4/28/97,1499
5/5/97,1680
5/12/97,3667
5/19/97,2138
5/27/97,3280
6/2/97,3648
6/9/97,5205
6/16/97,2154
6/23/97,3598
6/30/97,1872
7/7/97,838
7/14/97,1077
7/21/97,1793
7/28/97,1303
8/4/97,2341
8/11/97,3698
8/18/97,134
8/25/97,0
9/2/97,844
9/8/97,378
9/15/97,0
9/22/97,830
9/29/97,750
10/6/97,221
10/13/97,281
10/20/97,238
10/27/97,56
11/3/97,278
11/10/97,556
11/17/97,1958
11/24/97,840
12/1/97,905
12/8/97,2020
12/15/97,1934
12/22/97,2460
12/29/97,2711
1/5/98,1784
1/12/98,389
1/20/98,1127
1/26/98,766
2/2/98,1596
2/9/98,2235
2/17/98,816
2/23/98,1639
3/2/98,471
3/9/98,3432
3/16/98,1798
3/23/98,1577
3/30/98,6752
4/6/98,6151
4/13/98,1019
4/20/98,1755
4/27/98,998
5/4/98,1207
