"date","Paris__Sentinelles__inc"
"1991-01-02",1
"1991-01-07",1
"1991-01-14",1
"1991-01-21",1
"1991-01-28",1
"1991-02-04",1
"1991-02-11",1
"1991-02-19",1
"1991-02-25",1
"1991-03-04",1
"1991-03-11",1
"1991-03-18",1
"1991-03-25",1
"1991-04-01",1
"1991-04-08",1
"1991-04-15",1
"1991-04-22",1
"1991-04-29",1
"1991-05-06",1
"1991-05-13",1
"1991-05-20",1
"1991-05-28",1
"1991-06-03",1
"1991-06-10",1
"1991-06-17",1
"1991-06-24",1
"1991-07-01",1
"1991-07-08",1
"1991-07-15",1
"1991-07-22",1
"1991-07-29",1
"1991-08-05",1
"1991-08-12",1
"1991-08-19",1
"1991-08-26",1
"1991-09-03",1
"1991-09-09",1
"1991-09-16",1
"1991-09-23",1
"1991-09-30",1
"1991-10-07",1
"1991-10-14",1
"1991-10-21",1
"1991-10-28",1
"1991-11-04",1
"1991-11-11",1
"1991-11-18",1
"1991-11-25",1
"1991-12-02",1
"1991-12-09",1
"1991-12-16",1
"1991-12-23",1
"1991-12-30",1
"1992-01-06",1
"1992-01-13",1
"1992-01-20",1
"1992-01-27",1
"1992-02-03",1
"1992-02-10",1
"1992-02-18",1
"1992-02-24",1
"1992-03-02",1
"1992-03-09",1
"1992-03-16",1
"1992-03-23",1
"1992-03-30",1
"1992-04-06",1
"1992-04-13",1
"1992-04-20",1
"1992-04-27",1
"1992-05-04",1
"1992-05-11",1
"1992-05-18",1
"1992-05-26",1
"1992-06-01",1
"1992-06-08",1
"1992-06-15",1
"1992-06-22",1
"1992-06-29",1
"1992-07-06",1
"1992-07-13",1
"1992-07-20",1
"1992-07-27",1
"1992-08-03",1
"1992-08-10",1
"1992-08-17",1
"1992-08-24",1
"1992-08-31",1
"1992-09-08",1
"1992-09-14",1
"1992-09-21",1
"1992-09-28",1
"1992-10-05",1
"1992-10-12",1
"1992-10-19",1
"1992-10-26",1
"1992-11-02",1
"1992-11-09",1
"1992-11-16",1
"1992-11-23",1
"1992-11-30",1
"1992-12-07",1
"1992-12-14",1
"1992-12-21",1
"1992-12-28",1
"1993-01-04",1
"1993-01-11",1
"1993-01-18",1
"1993-01-25",1
"1993-02-01",1
"1993-02-08",1
"1993-02-16",1
"1993-02-22",1
"1993-03-01",1
"1993-03-08",1
"1993-03-15",1
"1993-03-22",1
"1993-03-29",1
"1993-04-05",1
"1993-04-12",1
"1993-04-19",1
"1993-04-26",1
"1993-05-03",1
"1993-05-10",1
"1993-05-17",1
"1993-05-24",1
"1993-06-01",1
"1993-06-07",1
"1993-06-14",1
"1993-06-21",1
"1993-06-28",1
"1993-07-06",1
"1993-07-12",1
"1993-07-19",1
"1993-07-26",1
"1993-08-02",1
"1993-08-09",1
"1993-08-16",1
"1993-08-23",1
"1993-08-30",1
"1993-09-07",1
"1993-09-13",1
"1993-09-20",1
"1993-09-27",1
"1993-10-04",1
"1993-10-11",1
"1993-10-18",1
"1993-10-25",1
"1993-11-01",1
"1993-11-08",1
"1993-11-15",1
"1993-11-22",1
"1993-11-29",1
"1993-12-06",1
"1993-12-13",1
"1993-12-20",1
"1993-12-27",1
"1994-01-03",1
"1994-01-10",1
"1994-01-17",1
"1994-01-24",1
"1994-01-31",1
"1994-02-07",1
"1994-02-14",1
"1994-02-22",1
"1994-02-28",1
"1994-03-07",1
"1994-03-14",1
"1994-03-21",1
"1994-03-28",1
"1994-04-04",1
"1994-04-11",1
"1994-04-18",1
"1994-04-25",1
"1994-05-02",1
"1994-05-09",1
"1994-05-16",1
"1994-05-23",1
"1994-05-31",1
"1994-06-06",1
"1994-06-13",1
"1994-06-20",1
"1994-06-27",1
"1994-07-05",1
"1994-07-11",1
"1994-07-18",1
"1994-07-25",1
"1994-08-01",1
"1994-08-08",1
"1994-08-15",1
"1994-08-22",1
"1994-08-29",1
"1994-09-06",1
"1994-09-12",1
"1994-09-19",1
"1994-09-26",1
"1994-10-03",1
"1994-10-10",1
"1994-10-17",1
"1994-10-24",1
"1994-10-31",1
"1994-11-07",1
"1994-11-14",1
"1994-11-21",1
"1994-11-28",1
"1994-12-05",1
"1994-12-12",1
"1994-12-19",1
"1994-12-27",1
"1995-01-03",1
"1995-01-09",1
"1995-01-16",1
