"date","NJ__FluTrends__inc"
"1903-09-28",695
"1903-10-05",716
"1903-10-12",815
"1903-10-19",831
"1903-10-26",901
"1903-11-02",897
"1903-11-09",994
"1903-11-16",1281
"1903-11-23",1731
"1903-11-30",2803
"1903-12-07",4879
"1903-12-14",6925
"1903-12-21",9954
"1903-12-28",7165
"1904-01-04",3410
"1904-01-11",2192
"1904-01-18",1816
"1904-01-25",1536
"1904-02-01",1184
"1904-02-08",1005
"1904-02-15",1037
"1904-02-22",975
"1904-02-29",797
"1904-03-07",758
"1904-03-14",747
"1904-03-21",779
"1904-03-28",737
"1904-04-04",785
"1904-04-11",783
"1904-04-18",679
"1904-04-25",594
"1904-05-02",534
"1904-05-09",475
"1904-05-16",480
"1904-05-23",461
"1904-05-30",458
"1904-06-06",518
"1904-06-13",546
"1904-06-20",597
"1904-06-27",554
"1904-07-04",527
"1904-07-11",486
"1904-07-18",463
"1904-07-25",458
"1904-08-01",462
"1904-08-08",509
"1904-08-15",493
"1904-08-22",513
"1904-08-29",567
"1904-09-05",574
"1904-09-12",592
"1904-09-19",637
"1904-09-26",739
"1904-10-03",979
"1904-10-10",1499
"1904-10-17",1628
"1904-10-24",1594
"1904-10-31",1782
"1904-11-07",1658
"1904-11-14",1484
"1904-11-21",1504
"1904-11-28",1634
"1904-12-05",1438
"1904-12-12",1931
"1904-12-19",2285
"1904-12-26",3394
"1905-01-02",3409
"1905-01-09",3208
"1905-01-16",2951
"1905-01-23",2989
"1905-01-30",3249
"1905-02-06",3840
"1905-02-13",4163
"1905-02-20",3461
"1905-02-27",2408
"1905-03-06",2177
"1905-03-13",1984
"1905-03-20",1579
"1905-03-27",1457
"1905-04-03",1139
"1905-04-10",886
"1905-04-17",808
"1905-04-24",850
"1905-05-01",756
"1905-05-08",618
"1905-05-15",544
"1905-05-22",577
"1905-05-29",569
"1905-06-05",543
"1905-06-12",563
"1905-06-19",549
"1905-06-26",541
"1905-07-03",516
"1905-07-10",514
"1905-07-17",524
"1905-07-24",553
"1905-07-31",567
"1905-08-07",558
"1905-08-14",598
"1905-08-21",647
"1905-08-28",554
"1905-09-04",555
"1905-09-11",857
"1905-09-18",1018
"1905-09-25",1188
"1905-10-02",1175
"1905-10-09",1544
"1905-10-16",1554
"1905-10-23",1556
"1905-10-30",1827
"1905-11-06",1536
"1905-11-13",1564
"1905-11-20",1367
"1905-11-27",1375
"1905-12-04",1432
"1905-12-11",1462
"1905-12-18",1648
"1905-12-25",2264
"1906-01-01",2156
"1906-01-08",1930
"1906-01-15",1849
"1906-01-22",1870
"1906-01-29",1885
"1906-02-05",2262
"1906-02-12",2020
"1906-02-19",2181
"1906-02-26",2171
"1906-03-05",2246
"1906-03-12",1733
"1906-03-19",1626
"1906-03-26",1337
"1906-04-02",1298
"1906-04-09",1089
"1906-04-16",928
"1906-04-23",845
"1906-04-30",842
"1906-05-07",764
"1906-05-14",722
"1906-05-21",728
"1906-05-28",657
"1906-06-04",669
"1906-06-11",694
"1906-06-18",593
"1906-06-25",561
"1906-07-02",544
"1906-07-09",578
"1906-07-16",550
"1906-07-23",551
"1906-07-30",528
"1906-08-06",555
"1906-08-13",563
"1906-08-20",552
"1906-08-27",559
"1906-09-03",531
"1906-09-10",733
"1906-09-17",904
"1906-09-24",923
"1906-10-01",954
"1906-10-08",915
"1906-10-15",1046
"1906-10-22",1108
"1906-10-29",1299
"1906-11-05",1321
"1906-11-12",1314
"1906-11-19",1164
"1906-11-26",1642
"1906-12-03",1702
"1906-12-10",1491
"1906-12-17",1584
"1906-12-24",2060
"1906-12-31",2030
"1907-01-07",1689
"1907-01-14",1718
"1907-01-21",1507
"1907-01-28",1681
"1907-02-04",2069
"1907-02-11",2162
"1907-02-18",2341
"1907-02-25",2539
"1907-03-04",2387
"1907-03-11",2151
"1907-03-18",1928
"1907-03-25",1878
"1907-04-01",1283
"1907-04-08",1245
"1907-04-15",1068
"1907-04-22",828
"1907-04-29",796
"1907-05-06",746
"1907-05-13",723
"1907-05-20",737
"1907-05-27",720
"1907-06-03",660
"1907-06-10",641
"1907-06-17",650
"1907-06-24",578
"1907-07-01",589
"1907-07-08",550
"1907-07-15",521
"1907-07-22",477
"1907-07-29",551
"1907-08-05",550
"1907-08-12",615
"1907-08-19",577
"1907-08-26",579
"1907-09-02",674
"1907-09-09",746
"1907-09-16",869
"1907-09-23",899
"1907-09-30",1029
"1907-10-07",956
"1907-10-14",1099
"1907-10-21",1152
"1907-10-28",1301
"1907-11-04",1301
"1907-11-11",1479
"1907-11-18",1304
"1907-11-25",1562
"1907-12-02",1459
"1907-12-09",1519
"1907-12-16",1734
"1907-12-23",1950
"1907-12-30",2325
"1908-01-06",2237
"1908-01-13",2213
"1908-01-20",2638
"1908-01-27",3842
"1908-02-03",5150
"1908-02-10",5339
"1908-02-17",5924
"1908-02-24",5138
"1908-03-02",4068
"1908-03-09",2995
"1908-03-16",2291
"1908-03-23",1938
"1908-03-30",1648
"1908-04-06",1425
"1908-04-13",1151
"1908-04-20",952
"1908-04-27",810
"1908-05-04",784
"1908-05-11",745
"1908-05-18",758
"1908-05-25",689
"1908-06-01",677
"1908-06-08",638
"1908-06-15",537
"1908-06-22",545
"1908-06-29",506
"1908-07-06",542
"1908-07-13",489
"1908-07-20",466
"1908-07-27",500
"1908-08-03",540
"1908-08-10",562
"1908-08-17",591
"1908-08-24",581
"1908-08-31",602
"1908-09-07",719
"1908-09-14",889
"1908-09-21",1082
"1908-09-28",1148
"1908-10-05",1186
"1908-10-12",1328
"1908-10-19",1384
"1908-10-26",1384
"1908-11-02",1458
"1908-11-09",1603
"1908-11-16",1604
"1908-11-23",1389
"1908-11-30",1619
"1908-12-07",1654
"1908-12-14",1732
"1908-12-21",1592
"1908-12-28",2012
"1909-01-04",2192
"1909-01-11",1805
"1909-01-18",2091
"1909-01-25",2550
"1909-02-01",3266
"1909-02-08",3807
"1909-02-15",3630
"1909-02-22",3100
"1909-03-01",2542
"1909-03-08",2137
"1909-03-15",1748
"1909-03-22",1615
"1909-03-29",1204
"1909-04-05",1036
"1909-04-12",1012
"1909-04-19",978
"1909-04-26",3330
"1909-05-03",1505
"1909-05-10",1455
"1909-05-17",2080
"1909-05-24",2203
"1909-05-31",2750
"1909-06-07",3990
"1909-06-14",4301
"1909-06-21",3366
"1909-06-28",1805
"1909-07-05",1077
"1909-07-12",941
"1909-07-19",828
"1909-07-26",846
"1909-08-02",773
"1909-08-09",873
"1909-08-16",847
"1909-08-23",1049
