date,NJ__FluTrends_inc
9/28/03,695
10/5/03,716
10/12/03,815
10/19/03,831
10/26/03,901
11/2/03,897
11/9/03,994
11/16/03,1281
11/23/03,1731
11/30/03,2803
12/7/03,4879
12/14/03,6925
12/21/03,9954
12/28/03,7165
1/4/04,3410
1/11/04,2192
1/18/04,1816
1/25/04,1536
2/1/04,1184
2/8/04,1005
2/15/04,1037
2/22/04,975
2/29/04,797
3/7/04,758
3/14/04,747
3/21/04,779
3/28/04,737
4/4/04,785
4/11/04,783
4/18/04,679
4/25/04,594
5/2/04,534
5/9/04,475
5/16/04,480
5/23/04,461
5/30/04,458
6/6/04,518
6/13/04,546
6/20/04,597
6/27/04,554
7/4/04,527
7/11/04,486
7/18/04,463
7/25/04,458
8/1/04,462
8/8/04,509
8/15/04,493
8/22/04,513
8/29/04,567
9/5/04,574
9/12/04,592
9/19/04,637
9/26/04,739
10/3/04,979
10/10/04,1499
10/17/04,1628
10/24/04,1594
10/31/04,1782
11/7/04,1658
11/14/04,1484
11/21/04,1504
11/28/04,1634
12/5/04,1438
12/12/04,1931
12/19/04,2285
12/26/04,3394
1/2/05,3409
1/9/05,3208
1/16/05,2951
1/23/05,2989
1/30/05,3249
2/6/05,3840
2/13/05,4163
2/20/05,3461
2/27/05,2408
3/6/05,2177
3/13/05,1984
3/20/05,1579
3/27/05,1457
4/3/05,1139
4/10/05,886
4/17/05,808
4/24/05,850
5/1/05,756
5/8/05,618
5/15/05,544
5/22/05,577
5/29/05,569
6/5/05,543
6/12/05,563
6/19/05,549
6/26/05,541
7/3/05,516
7/10/05,514
7/17/05,524
7/24/05,553
7/31/05,567
8/7/05,558
8/14/05,598
8/21/05,647
8/28/05,554
9/4/05,555
9/11/05,857
9/18/05,1018
9/25/05,1188
10/2/05,1175
10/9/05,1544
10/16/05,1554
10/23/05,1556
10/30/05,1827
11/6/05,1536
11/13/05,1564
11/20/05,1367
11/27/05,1375
12/4/05,1432
12/11/05,1462
12/18/05,1648
12/25/05,2264
1/1/06,2156
1/8/06,1930
1/15/06,1849
1/22/06,1870
1/29/06,1885
2/5/06,2262
2/12/06,2020
2/19/06,2181
2/26/06,2171
3/5/06,2246
3/12/06,1733
3/19/06,1626
3/26/06,1337
4/2/06,1298
4/9/06,1089
4/16/06,928
4/23/06,845
4/30/06,842
5/7/06,764
5/14/06,722
5/21/06,728
5/28/06,657
6/4/06,669
6/11/06,694
6/18/06,593
6/25/06,561
7/2/06,544
7/9/06,578
7/16/06,550
7/23/06,551
7/30/06,528
8/6/06,555
8/13/06,563
8/20/06,552
8/27/06,559
9/3/06,531
9/10/06,733
9/17/06,904
9/24/06,923
10/1/06,954
10/8/06,915
10/15/06,1046
10/22/06,1108
10/29/06,1299
11/5/06,1321
11/12/06,1314
11/19/06,1164
11/26/06,1642
12/3/06,1702
12/10/06,1491
12/17/06,1584
12/24/06,2060
12/31/06,2030
1/7/07,1689
1/14/07,1718
1/21/07,1507
1/28/07,1681
2/4/07,2069
2/11/07,2162
2/18/07,2341
2/25/07,2539
3/4/07,2387
3/11/07,2151
